Slope on 90%,Slope on 70%,Slope on 50%,Slope on 30%,Slope on 10%,Min,Max,Amplitude,Mean,Median,Skewness,Kurtosis,APD90,APD70,APD50,APD70/APD90,APD50/APD90,APD50/APD70,Peak time,Peak to end,N of peaks,diff Min,diff Max,diff Amplitude,diff Mean,diff Median,diff Skewness,diff Kurtosis,diff End Min,diff End Max,diff End Amplitude,diff End Mean,diff End Median,diff End Skewness,diff End Kurtosis,diff N of positive peaks,diff N of negative peaks,diff N of abs peaks,Label
-0.02537736214967022,-0.001672313282362335,-0.0003351547784365012,-0.001026825391327621,-0.01000683114829358,-2.9942773246556676e-06,0.14879392114857432,0.14879691542589898,0.04711409604457088,0.05788070296491183,-0.06498285158503624,-1.5552493202228015,184.14,175.32,109.38,0.9521016617790812,0.5940045617464973,0.6238877481177276,1.6199999999999999,182.51999999999998,2,-0.04867265926038174,0.013534738941347962,0.0622073982017297,-0.0019773280806778186,-2.9309259345157664e-06,-2.7214281550814117,7.216378159319165,-0.04867265926038174,-0.0066024957576842555,0.04207016350269748,-0.027370267152617266,-0.027738671578938744,0.008081073119305488,-1.6046121056907336,2,2,2,G_K+G_Na
-0.02519887687481013,-0.0016340054511503161,-0.00033482725150199224,-0.0010526995198236206,-0.01001185048225852,-3.0266447169762232e-06,0.14845713463876592,0.14846016128348288,0.047192177972382676,0.05809300467689807,-0.07287794829001766,-1.5532439684069799,184.73999999999998,175.98,109.92,0.952582007145177,0.5949983760961352,0.6246164336856461,1.6199999999999999,183.11999999999998,2,-0.04841665618049364,0.013211676749457807,0.06162833292995145,-0.0018992461528660465,-2.889491398301344e-06,-2.774009885256476,7.553301976200633,-0.04841665618049364,-0.006420068825961842,0.0419965873545318,-0.026825679821556817,-0.0265941404666668,-0.03045597157909038,-1.5779685683181077,2,2,2,G_K+G_Na
-0.025129008425965584,-0.0016304419815997436,-0.0003303162009874172,-0.0010708651037021817,-0.010003295854730533,-2.9033926792858857e-06,0.14811185658705214,0.14811475997973142,0.04726217518203596,0.05828644192640638,-0.08028100072405095,-1.5512137659504353,185.22,176.57999999999998,110.46,0.9533527696793002,0.5963718820861678,0.6255521576622495,1.6199999999999999,183.6,2,-0.04817237275903343,0.012902418296111828,0.06107479105514526,-0.001829248943212761,-2.848040116302216e-06,-2.825242374793939,7.8871131791064375,-0.04817237275903343,-0.006237294624757424,0.04193507813427601,-0.026210416166587182,-0.025199932416158935,-0.07852941046894969,-1.5592150894690628,2,2,2,G_K+G_Na
-0.025085911296610527,-0.0015937004351746391,-0.0003273918271040497,-0.0011187984433789736,-0.010010502265895838,-2.924682926255954e-06,0.1477634134817903,0.14776633816471657,0.047332507246966866,0.05847562151057137,-0.08762131704282307,-1.5490577901277645,185.76,177.23999999999998,111.06,0.9541343669250646,0.5978682170542636,0.6266079891672309,1.6199999999999999,184.14,2,-0.04792374864932612,0.012586651342873095,0.06051039999219922,-0.0017589168782818302,-2.8066077116823122e-06,-2.8773612892190745,8.234310741048871,-0.04792374864932612,-0.006064459031936295,0.04185928961738983,-0.02553520400614348,-0.023821503388062236,-0.13258276731441104,-1.5437980062074463,2,2,2,G_K+G_Na
-0.025043475135907736,-0.0015902291887837311,-0.00032606418028810794,-0.0011339349662203531,-0.010001425538931567,-2.821489349429102e-06,0.14745365825883783,0.14745647974818726,0.04739774711671425,0.05865166853408715,-0.09463073226061687,-1.5468750275025165,186.23999999999998,177.77999999999997,111.53999999999999,0.9545747422680412,0.5989046391752577,0.627404657441782,1.6199999999999999,184.61999999999998,2,-0.04768097671977078,0.012277931820358856,0.059958908540129634,-0.0016936770085346853,-2.7652342398098063e-06,-2.928780519914814,8.582949815731428,-0.04768097671977078,-0.005840104237059913,0.041840872482710866,-0.024817611727960466,-0.02275127442555008,-0.18269387512143853,-1.5281191230100193,2,2,2,G_K+G_Na
-0.0249164820752078,-0.0015889776189625703,-0.0003238992939830087,-0.0011621305485878483,-0.01000781416647071,-2.7639858377415006e-06,0.14714674617974294,0.14714951016558067,0.04746165877094543,0.05882115725297684,-0.10148462500900794,-1.5445893976908442,186.78,178.38,112.02,0.9550273048506264,0.599743013170575,0.6279852001345442,1.6199999999999999,185.16,2,-0.04743752054464518,0.011969364618493572,0.05940688516313875,-0.0016297653543030938,-2.7238337223957768e-06,-2.980483824390913,8.940697764235338,-0.04743752054464518,-0.002974477554550857,0.04446304299009432,-0.024068221966814116,-0.022045991731426705,-0.226135317959945,-1.5052693859916941,2,2,2,G_K+G_Na
-0.024793543990472823,-0.0015535718367463273,-0.0003220674813389611,-0.0012009468184621729,-0.010007109027580941,-2.69513354045643e-06,0.1468112961087477,0.14681399124228817,0.04752277242975229,0.058981940740238506,-0.1081353085347843,-1.5422667059367552,187.26,178.92,112.56,0.9554629926305671,0.6010893944248639,0.6291079812206574,1.6199999999999999,185.64,2,-0.04719492191406981,0.011683841221395846,0.05887876313546565,-0.0015686516954962623,-2.6823731907399683e-06,-3.0320962595125684,9.30447506927938,-0.04719492191406981,-0.0015504668961263952,0.04564445501794341,-0.023319108562590396,-0.021533340023024157,-0.2645204620803708,-1.4760120335268117,2,2,2,G_K+G_Na
-0.024752158420988914,-0.001551469325842407,-0.0003199337246663749,-0.0012343378625531809,-0.010007237629970831,-2.652307729186119e-06,0.1465261858274802,0.1465288381352094,0.04758163539235869,0.05913520965917274,-0.11460493113087804,-1.5398757853780274,187.68,179.45999999999998,112.98,0.9562020460358055,0.6019820971867008,0.6295553326646608,1.6199999999999999,186.06,2,-0.04695170159338252,0.011393067517507849,0.05834476911089037,-0.0015097887328900125,-2.6408650308210836e-06,-3.083729486830125,9.675193644519041,-0.04695170159338252,-0.0009195483851269419,0.04603215320825558,-0.022648605889356598,-0.021180897946903796,-0.29770572841199133,-1.4456844842957117,2,2,2,G_K+G_Na
-0.02461005737850276,-0.0015175474134279652,-0.0003181050784071897,-0.0012398230171883134,-0.010005433919232686,-2.6094900892345202e-06,0.1462250551229075,0.14622766461299674,0.047638233038607765,0.05928104544176205,-0.12089467204361963,-1.5374591372804978,188.16,179.94,113.46,0.9563137755102041,0.6029974489795918,0.6305435145048349,1.6199999999999999,186.54,2,-0.04670711063354485,0.011118237895018257,0.05782534852856311,-0.0014531910866409264,-2.599307656214785e-06,-3.1352054432158503,10.051546853790725,-0.04670711063354485,-0.0004651382355442885,0.04624197239800056,-0.02192326955661672,-0.02087100389874994,-0.3322430660728465,-1.4102519646519271,2,2,2,G_K+G_Na
-0.024503764948125215,-0.0015156453418411564,-0.00031618161942709817,-0.001295657880756998,-0.010004999310588675,-2.597635066757984e-06,0.14594021213386485,0.14594280976893162,0.047692145438571115,0.05941900174965324,-0.12698167090665832,-1.5349898185416393,188.57999999999998,180.48,113.88,0.9570474069360484,0.6038816417435572,0.6309840425531915,1.6199999999999999,186.95999999999998,2,-0.04646194301081818,0.0108400674423077,0.05730201045312588,-0.0013992786866775385,-2.557703870023071e-06,-3.186426382198481,10.43264939753097,-0.04646194301081818,-0.00025312505672871037,0.046208817954089466,-0.021226310489715263,-0.02064262576470518,-0.3674315747678146,-1.3735677849258283,2,2,2,G_K+G_Na
