PC1,PC2,PC3,PC4,PC5,Label
-132.92448390298813,5.065024072359652,-8.917181477226379,-2.4537603031302053,0.06823869111032017,G_Ca
-133.32732545729556,4.489393909458061,-10.789169698007706,-2.415366223571066,-0.40110648799883614,G_Ca
-133.86042324176788,3.603912768828468,-11.563017779245028,-2.5053682745549777,-0.5651810735455088,G_Ca
-134.31091549072812,2.8278425475371107,-11.847893804725178,-2.5738198389961515,-0.6003097367662865,G_Ca
-134.82149495138165,1.9269274366654674,-11.84443476621272,-2.624718076239626,-0.5494831124761491,G_Ca
-135.27820813998912,1.1100590684188958,-11.699377848940602,-2.6663719907932286,-0.46481529181832265,G_Ca
-135.77587206699727,0.21331241949301621,-11.474922906512402,-2.810342806114646,-0.36581694992708164,G_Ca
-136.2546291160966,-0.652533270485623,-11.179011039823274,-2.850624993207284,-0.235897593320381,G_Ca
-136.70824537106157,-1.4757575463375663,-10.84789797996066,-2.8479917336743967,-0.0985160779844231,G_Ca
-137.15714371109294,-2.294648848539485,-10.49468866827788,-2.9131247032863112,0.03702620198490345,G_Ca
-137.5964569386777,-3.0961621022698833,-10.121848457262145,-2.9236097190647805,0.1787966839683577,G_Ca
-138.01392331637786,-3.863469375433269,-9.732886649104442,-3.018113566618246,0.3231936373027319,G_Ca
-138.45459592376022,-4.669557136674506,-9.327033900470068,-3.0305546844574414,0.47320001266027667,G_Ca
-138.84727368137746,-5.394718456526614,-8.898410639076696,-3.082324301703774,0.6250293781528664,G_Ca
-139.29908827001873,-6.223455118990804,-8.47422854496799,-3.1514587350059227,0.7740331853864217,G_Ca
-139.66623088492045,-6.904797085459725,-8.015321774376007,-3.1624621346597603,0.935229145676239,G_Ca
-140.0656093189999,-7.641716780528873,-7.555987044725729,-3.1494721750686248,1.0997313229214882,G_Ca
-140.4165963076948,-8.296467121532803,-7.083022496596718,-3.175219517616566,1.2626363646427645,G_Ca
-140.800142312051,-9.006365568171084,-6.61933696260283,-3.173031769259588,1.4214804810414103,G_Ca
-141.18334235080619,-9.715028505317578,-6.164138200740532,-3.170242967047313,1.5768312970948377,G_Ca
-141.53338054812588,-10.366483886731444,-5.713936762891691,-3.1943763607956517,1.7302585322390562,G_Ca
-141.91523249893854,-11.070344909392528,-5.2923044247759545,-3.189395523989108,1.8744958974625399,G_Ca
-142.2371831998488,-11.667917893337107,-4.885157927951726,-3.1657233765063797,2.013510874344418,G_Ca
-142.56754232464007,-12.279172245152212,-4.520963548097291,-3.19767801023709,2.14137721810998,G_Ca
-142.88625666707478,-12.865075534309915,-4.196001207580328,-3.168900166591587,2.2570475276290027,G_Ca
-143.21884943633953,-13.47100252729638,-3.9243305514761544,-3.1261533463330236,2.362608248396293,G_Ca
-143.53356718302513,-14.042462512739876,-3.7016414819681622,-3.091112570081346,2.449910625216471,G_Ca
-143.84658478206433,-14.607674880262078,-3.522535261094718,-3.053391201711788,2.5259513765585964,G_Ca
-144.15874265615787,-15.169760679656882,-3.3658204833900087,-3.0143096908174707,2.5954329807840573,G_Ca
-144.4288940994945,-15.660061902278755,-3.1743823484489266,-2.948885912843548,2.678700644787039,G_Ca
-144.74497555419356,-16.236238635170494,-2.917746649167167,-2.9158336000453433,2.774077785115319,G_Ca
-145.03446706897964,-16.778776821237496,-2.4985601614625117,-2.919873881049651,2.9130049956860558,G_Ca
