TSNE1,TSNE2,TSNE3,Label
11.446034,-2.4782481,-0.8166487,G_Ca
11.199125,-1.8432661,-0.14126022,G_Ca
10.893519,-1.5798342,0.9665618,G_Ca
10.678767,-0.8585008,2.0615704,G_Ca
10.197304,-0.27112094,3.269728,G_Ca
9.714941,0.33176765,4.512766,G_Ca
9.121939,0.95098764,5.7285194,G_Ca
8.497768,1.6638631,6.81598,G_Ca
7.662952,1.9490849,7.7985053,G_Ca
6.83124,2.6136234,8.192344,G_Ca
11.4368925,-2.3829622,-0.9938688,G_Ca
11.546135,-2.2614236,-0.5146341,G_Ca
11.262963,-2.1734262,-0.07025192,G_Ca
11.102724,-1.8572644,0.33454806,G_Ca
11.045398,-1.6230409,0.87992543,G_Ca
10.926825,-1.2288176,1.3745785,G_Ca
10.603776,-0.879284,1.8547181,G_Ca
10.437603,-0.64191055,2.473467,G_Ca
10.25694,-0.36724135,3.08463,G_Ca
10.053289,-0.069485,3.69086,G_Ca
9.822095,0.21759705,4.2785864,G_Ca
9.56151,0.50899315,4.8683176,G_Ca
9.296463,0.79583824,5.4163795,G_Ca
8.986538,1.0861301,5.9896564,G_Ca
8.694398,1.3568667,6.525828,G_Ca
8.289613,1.5628048,7.0136757,G_Ca
8.118141,2.0952253,7.3824034,G_Ca
7.735119,2.4022462,7.6464624,G_Ca
7.344294,2.223824,8.220059,G_Ca
7.1286798,2.8901641,8.24715,G_Ca
6.6116824,2.9729216,8.579865,G_Ca
0.23312886,5.335727,-5.969267,G_Ca
-0.031835638,5.3968873,-5.847979,G_Ca
-0.2655121,5.272231,-5.83011,G_Ca
-0.4321596,5.0629563,-5.85706,G_Ca
-0.57436776,4.71668,-5.93437,G_Ca
-0.6697331,4.3278556,-6.021194,G_Ca
-0.7702663,3.8576536,-6.1166725,G_Ca
-0.82394314,3.3673916,-6.182783,G_Ca
-0.8615818,2.8824906,-6.2082243,G_Ca
-0.91361743,2.3879385,-6.210752,G_Ca
-0.94193983,1.8589245,-6.170941,G_Ca
-0.9825756,1.3257099,-6.118241,G_Ca
-0.99628955,0.7644529,-6.0248427,G_Ca
-0.99052733,0.22585036,-5.920902,G_Ca
-1.0016427,-0.3785034,-5.7763815,G_Ca
-0.9609497,-0.8907146,-5.630827,G_Ca
-0.9111075,-1.4360019,-5.450421,G_Ca
-0.87926817,-1.9511378,-5.27905,G_Ca
-0.83823323,-2.4931467,-5.0689206,G_Ca
-0.79876655,-3.0330071,-4.8440986,G_Ca
-0.76041394,-3.5405233,-4.6249185,G_Ca
-0.71184045,-4.0693984,-4.358763,G_Ca
-0.67390615,-4.530433,-4.1009436,G_Ca
-0.66252303,-4.964485,-3.8123891,G_Ca
-0.6534564,-5.359286,-3.4844959,G_Ca
-0.6859134,-5.719964,-3.102856,G_Ca
-0.72483486,-6.018096,-2.7141504,G_Ca
-0.80072486,-6.277332,-2.3123295,G_Ca
-0.9022698,-6.5053663,-1.9085844,G_Ca
-0.9790114,-6.7042475,-1.5403208,G_Ca
-1.0875368,-6.9430494,-1.1199532,G_Ca
-1.1761373,-7.2447753,-0.72176355,G_Ca
